submission_id,review_result,review_time
2025082007105000109221,0,2026-01-06 11:19:56
2025082013025600105113,1,2026-01-06 11:20:07
2025082021135100109633,0,2026-01-06 11:20:10
2025082207105600105821,0,2026-01-06 11:20:17
2025082207121700106007,0,2026-01-06 11:20:20
2025082207122000106012,0,2026-01-06 11:20:22
2025082207134100106186,0,2026-01-06 11:20:27
2025082207140200106242,0,2026-01-06 11:22:28
2025082207142500106300,1,2026-01-06 11:22:50
2025082207155700106516,0,2026-01-06 11:23:56
2025082207162400106580,1,2026-01-06 11:24:08
2025082207162500106586,0,2026-01-06 11:24:11
2025082207165000106656,0,2026-01-06 11:24:38
2025082207170100106680,0,2026-01-06 11:24:45
2025082207172700106748,0,2026-01-06 11:24:58
2025082207173500106769,0,2026-01-06 11:25:00
2025082207190300107000,0,2026-01-06 11:25:03
2025082207193500107093,0,2026-01-06 11:25:29
2025082207195100107123,0,2026-01-06 11:25:29
2025082207195400107137,0,2026-01-06 11:25:29
2025082207200200107167,0,2026-01-06 11:25:29
2025082207200300107173,0,2026-01-06 11:25:33
2025082207200700107181,1,2026-01-06 11:25:38
2025082207200700107183,1,2026-01-06 11:25:42
2025082207204200107290,0,2026-01-06 11:25:42
2025082207204400107297,1,2026-01-06 11:25:48
2025082207204900107308,0,2026-01-06 11:26:19
2025082207211200107370,0,2026-01-06 11:26:43
2025082207213600107433,1,2026-01-06 11:26:49
2025082207220700107515,1,2026-01-06 11:26:52
2025082207220900107524,0,2026-01-06 11:26:56
2025082207220900107525,0,2026-01-06 11:26:58
2025082207221100107529,0,2026-01-06 11:27:01
2025082207222000107568,0,2026-01-06 11:27:02
2025082207223000107591,0,2026-01-06 11:27:31
2025082207225900107683,0,2026-01-06 11:27:34
2025082207225900107686,0,2026-01-06 11:27:36
2025082207230900107716,0,2026-01-06 11:27:53
2025082207231100107720,0,2026-01-06 11:28:24
2025082207231300107729,1,2026-01-06 11:28:28
2025082207232200107752,0,2026-01-06 11:28:50
2025082207233200107780,0,2026-01-06 11:28:54
2025082207233200107781,1,2026-01-06 11:28:59
2025082207233800107795,0,2026-01-06 11:28:59
2025082207234100107806,0,2026-01-06 11:29:01
2025082207240700107874,0,2026-01-06 11:29:04
2025082207241200107885,0,2026-01-06 11:29:04
2025082207245300108012,0,2026-01-06 11:29:04
2025082207245700108024,0,2026-01-06 11:29:06
2025082207250000108029,0,2026-01-06 11:29:10
2025082207253100108120,0,2026-01-06 11:29:17
2025082207255600108183,1,2026-01-06 11:29:21
2025082207260000108195,0,2026-01-06 11:29:21
2025082207260300108202,0,2026-01-06 11:29:26
2025082207263600108298,1,2026-01-06 11:29:33
2025082207263800108303,0,2026-01-06 11:29:34
2025082207264300108314,0,2026-01-06 11:29:36
2025082207264400108318,0,2026-01-06 11:29:38
2025082207264600108325,0,2026-01-06 11:29:40
2025082207271600108421,1,2026-01-06 11:29:44
2025082207271900108431,0,2026-01-06 11:29:49
2025082207273900108501,0,2026-01-06 11:29:49
2025082207274600108527,0,2026-01-06 11:29:51
2025082207280300108580,0,2026-01-06 11:29:54
2025082207280400108585,0,2026-01-06 11:29:56
2025082207281100108604,0,2026-01-06 11:29:56
2025082207281600108619,0,2026-01-06 11:30:09
2025082207283200108662,0,2026-01-06 11:30:11
2025082207283300108666,0,2026-01-06 11:30:12
2025082207283700108683,1,2026-01-06 11:30:16
2025082207284400108708,1,2026-01-06 11:30:21
2025082207285800108738,1,2026-01-06 11:30:26
2025082207294500108893,1,2026-01-06 11:30:42
2025082207300100108944,0,2026-01-06 11:30:43
2025082207300200108946,0,2026-01-06 11:30:45
2025082207301500109001,0,2026-01-06 11:30:49
2025082207301800109015,0,2026-01-06 11:30:51
2025082207305300109124,0,2026-01-06 11:30:52
2025082207305700109136,0,2026-01-06 11:30:53
2025082207305900109148,1,2026-01-06 11:30:58
2025082207310300109160,0,2026-01-06 11:30:59
2025082207312100109224,0,2026-01-06 11:30:59
2025082207313400109277,0,2026-01-06 11:31:34
2025082207313500109278,0,2026-01-06 11:31:37
2025082207314200109305,0,2026-01-06 11:31:37
2025082207314500109314,1,2026-01-06 11:31:43
2025082207315000109326,0,2026-01-06 11:31:45
2025082207315300109333,1,2026-01-06 11:31:53
2025082207315700109353,0,2026-01-06 11:31:53
2025082207323600109509,0,2026-01-06 11:31:53
2025082207323700109516,0,2026-01-06 11:31:53
2025082207325100109561,1,2026-01-06 11:32:11
2025082207325100109565,0,2026-01-06 11:32:12
2025082207325400109572,0,2026-01-06 11:32:17
2025082207330000109588,0,2026-01-06 11:32:19
2025082207331000109629,0,2026-01-06 11:32:19
2025082207331900109664,0,2026-01-06 11:32:21
2025082207332300109678,1,2026-01-06 11:32:24
2025082207332400109681,1,2026-01-06 11:32:26
2025082207335200109789,0,2026-01-06 11:32:27
2025082207340800109845,0,2026-01-06 11:32:27
2025082207340800109846,1,2026-01-06 11:32:36
2025082207343100109929,0,2026-01-06 11:32:44
2025082207344200109967,0,2026-01-06 11:32:45
2025082207351500100064,1,2026-01-06 11:32:46
2025082207351900100075,0,2026-01-06 11:32:54
2025082207352100100080,1,2026-01-06 11:32:56
2025082207353100100120,1,2026-01-06 11:33:00
2025082207354400100171,0,2026-01-06 11:33:00
2025082207360800100242,0,2026-01-06 11:33:00
2025082207363700100342,0,2026-01-06 11:33:02
2025082207363700100345,0,2026-01-06 11:33:03
2025082207363800100348,0,2026-01-06 11:33:03
2025082207364700100383,0,2026-01-06 11:33:04
2025082207371600100480,1,2026-01-06 11:33:14
2025082207372700100516,0,2026-01-06 11:33:38
2025082207373100100537,0,2026-01-06 11:33:39
2025082207373300100546,0,2026-01-06 11:33:40
2025082207380100100624,0,2026-01-06 11:33:59
2025082207380300100629,0,2026-01-06 11:33:59
2025082207380500100635,1,2026-01-06 11:34:05
2025082207381300100657,0,2026-01-06 11:34:05
2025082207383100100721,0,2026-01-06 11:34:05
2025082207384400100768,0,2026-01-06 11:34:07
2025082207390800100840,0,2026-01-06 11:34:07
2025082207391100100855,1,2026-01-06 11:34:13
2025082207392700100913,0,2026-01-06 11:34:13
2025082207393400100935,0,2026-01-06 11:34:32
2025082207393900100957,0,2026-01-06 11:34:58
2025082207394600100989,0,2026-01-06 11:35:01
2025082207395000101004,0,2026-01-06 11:35:26
2025082207395300101017,0,2026-01-06 11:35:26
2025082207395600101022,1,2026-01-06 11:35:35
2025082207402500101111,0,2026-01-06 11:35:37
2025082207403700101153,0,2026-01-06 11:35:38
2025082207404600101195,0,2026-01-06 11:35:38
2025082207405400101223,0,2026-01-06 11:35:38
2025082207411100101282,0,2026-01-06 11:36:07
2025082207411900101315,0,2026-01-06 11:36:13
2025082207412000101317,0,2026-01-06 11:36:13
2025082207412100101328,1,2026-01-06 11:36:15
2025082207412300101332,0,2026-01-06 11:36:18
2025082207415000101411,0,2026-01-06 11:36:18
2025082207420000101442,1,2026-01-06 11:36:22
2025082207420000101444,0,2026-01-06 11:36:25
2025082207422000101524,1,2026-01-06 11:36:30
2025082207422200101529,0,2026-01-06 11:36:31
2025082207422400101542,1,2026-01-06 11:36:42
2025082207423300101567,0,2026-01-06 11:36:45
