submission_id,front_image,side_image,result
2025082207173500106769,https://file.b18a.io/7833087227400103219_694130_.jpg,https://file.b18a.io/7833087227400103219_912016_.jpg,5
2025082207204200107290,https://file.b18a.io/7833715206800105744_579718_.jpeg,https://file.b18a.io/7833715206800105744_788312_.jpeg,4
2025082207232200107752,https://file.b18a.io/7832684935800109088_392525_.jpg,https://file.b18a.io/7832684935800109088_789684_.jpg,4
2025082207241200107885,https://file.b18a.io/7832763974400106828_545550_.jpeg,https://file.b18a.io/7832763974400106828_455630_.jpeg,4
2025082207264600108325,https://file.b18a.io/7833472908400105628_542087_.jpeg,https://file.b18a.io/7833472908400105628_350892_.jpeg,5
2025082207330000109588,https://file.b18a.io/7832565506300104285_683783_.jpg,https://file.b18a.io/7832565506300104285_797225_.jpg,4
2025082207352100100080,https://file.b18a.io/7835637089900108475_560395_.jpeg,https://file.b18a.io/7835637089900108475_441609_.jpeg,4
2025082207373300100546,https://file.b18a.io/7832742595300102316_478218_.jpg,https://file.b18a.io/7832742595300102316_687295_.jpg,4
2025082207445300102109,https://file.b18a.io/8081824294300105903_618138_.jpg,https://file.b18a.io/8081824294300105903_294978_.jpg,4
2025082207454600102341,https://file.b18a.io/8305972814900107804_269790_.jpeg,https://file.b18a.io/8305972814900107804_974123_.jpeg,4
2025082207491700103285,https://file.b18a.io/7836665727100100019_363128_.jpg,https://file.b18a.io/7836665727100100019_443982_.jpg,4
2025082207560800105271,https://file.b18a.io/7832760190600104326_840114_.jpg,https://file.b18a.io/7832760190600104326_596871_.jpg,4
2025082207565500105502,https://file.b18a.io/7833131797800102484_887256_.jpg,https://file.b18a.io/7833131797800102484_378457_.jpg,4
2025082207591200106274,https://file.b18a.io/8314548601100100304_123617_.jpeg,https://file.b18a.io/8314548601100100304_676412_.jpeg,4
2025082207592700106376,https://file.b18a.io/7836542779100107481_665680_.jpeg,https://file.b18a.io/7836542779100107481_909491_.jpeg,4
2025082208014400107210,https://file.b18a.io/7832939265800109568_378366_.jpg,https://file.b18a.io/7832939265800109568_610819_.jpg,4
2025082208024200107523,https://file.b18a.io/7839252811000103542_637429_.jpg,https://file.b18a.io/7839252811000103542_436803_.jpg,4
2025082208024900107563,https://file.b18a.io/7890555426900109747_743194_.png,https://file.b18a.io/7890555426900109747_996706_.png,4
2025082208043200108190,https://file.b18a.io/8150566989000105588_326236_.jpg,https://file.b18a.io/8150566989000105588_533760_.jpg,4
2025082208055700108689,https://file.b18a.io/7833234862500103447_911466_.jpg,https://file.b18a.io/7833234862500103447_333277_.jpg,4
2025082208070700109104,https://file.b18a.io/7873091485000102465_435725_.jpg,https://file.b18a.io/7873091485000102465_833598_.jpg,4
2025082208092700109991,https://file.b18a.io/7833631112200100973_493042_.jpg,https://file.b18a.io/7833631112200100973_604238_.jpg,4
2025082208094500100107,https://file.b18a.io/7839460229500107314_757634_.jpg,https://file.b18a.io/7839460229500107314_906741_.jpg,4
2025082208101900100330,https://file.b18a.io/7833412611900108807_851086_.jpg,https://file.b18a.io/7833412611900108807_527419_.jpg,5
2025082208111400100690,https://file.b18a.io/7881738835100101076_468846_.jpg,https://file.b18a.io/7881738835100101076_877366_.jpg,5
2025082208113900100870,https://file.b18a.io/7832665241600101883_768629_.jpg,https://file.b18a.io/7832665241600101883_921924_.jpg,5
2025082208122300101172,https://file.b18a.io/7893845010400103721_457664_.jpg,https://file.b18a.io/7893845010400103721_576857_.jpg,5
2025082208142800101995,https://file.b18a.io/7833171656400109243_486603_.jpg,https://file.b18a.io/7833171656400109243_986260_.jpg,4
2025082208163900102943,https://file.b18a.io/7832630738100105234_425246_.jpg,https://file.b18a.io/7832630738100105234_286001_.jpg,4
2025082208171100103148,https://file.b18a.io/7837350975600107200_136801_.jpg,https://file.b18a.io/7837350975600107200_182388_.jpg,5
2025082208172900103275,https://file.b18a.io/8081805075000105408_543530_.jpeg,https://file.b18a.io/8081805075000105408_874342_.jpeg,4
2025082208203700104758,https://file.b18a.io/7953764413300106955_530690_.jpg,https://file.b18a.io/7953764413300106955_589183_.jpg,4
2025082208204200104794,https://file.b18a.io/7833313004800108437_529659_.jpeg,https://file.b18a.io/7833313004800108437_696165_.jpeg,4
2025082208204600104830,https://file.b18a.io/7852088995800109472_103057_.jpg,https://file.b18a.io/7852088995800109472_511668_.jpg,4
2025082208215900105438,https://file.b18a.io/7906508803300102323_722436_.jpg,https://file.b18a.io/7906508803300102323_995176_.jpg,4
2025082208220600105507,https://file.b18a.io/8089787249800103509_962949_.jpg,https://file.b18a.io/8089787249800103509_592629_.jpg,4
2025082208281500108479,https://file.b18a.io/8091119146200103859_732874_.jpg,https://file.b18a.io/8091119146200103859_735514_.jpg,5
