submission_id,rating
2026011505290000108860,3
2026011901135600109574,3
2026011901313900109575,5
2026012101311900100298,3
2026012110191900100415,3
2026012114552700100417,5
2026012116350100100418,3
2026012116474800100419,3
2026012117271800100424,3
2026012117324800100425,3
2026012117382800100426,2
2026012200531000100427,5
2026012201004300100428,3
2026012205251600100432,3
2026012205350300100433,3
2026012206205400100436,1
2026012211122700100442,2
2026012221030800100444,5
2026012221052300100445,5
2026012221103000100446,3
2026012221240600100447,3
2026012221274500100448,3
2026012221305900100449,5
2026012302560500100456,3
2026012302562600100457,3
2026012303024000100458,3
2026012303081700100459,3
2026012303160000100460,3
2026012310521400100462,3
2026012401125600100577,3
2026012401153000100580,3
2026012401174500100584,3
2026012408245600100853,3
2026012408311800100854,3
2026012411075700100885,2
2026012411152700100886,3
2026012411573000100887,5
2026012510403200100909,3
2026012601540800100912,3
2026012601554900100913,3
2026012601570200100914,3
2026012700450700100923,3
2026012700461100100924,3
2026012700471100100925,3
2026012700510800100927,3
2026012401201500100588,5
2026012402482300100677,5
2026012700493900100926,3
2026012402504600100682,5
