submission_id,image_path,front_image,side_image,result,original_index,status
2025082410472700104081,/Users/sky/WorkProject/Knob/download_images/front/2025082410472700104081_5_front.jpg,https://file.b18a.io/8032500034100100828_879688_.jpg,https://file.b18a.io/8032500034100100828_381258_.jpg,5,623,exists
2025082209120500106527,/Users/sky/WorkProject/Knob/download_images/front/2025082209120500106527_4_front.jpg,https://file.b18a.io/8270566486100101879_592449_.jpg,https://file.b18a.io/8270566486100101879_878329_.jpg,4,1010,exists
2025082208122300101172,/Users/sky/WorkProject/Knob/download_images/front/2025082208122300101172_5_front.jpg,https://file.b18a.io/7893845010400103721_457664_.jpg,https://file.b18a.io/7893845010400103721_576857_.jpg,5,26,exists
2025082207513000103913,/Users/sky/WorkProject/Knob/download_images/front/2025082207513000103913_4_front.jpeg,https://file.b18a.io/8158829164000105685_134890_.jpeg,https://file.b18a.io/8158829164000105685_876952_.jpeg,4,942,exists
2025082807180000101693,/Users/sky/WorkProject/Knob/download_images/front/2025082807180000101693_4_front.jpeg,https://file.b18a.io/8087680073500103580_267632_.jpeg,https://file.b18a.io/8087680073500103580_969227_.jpeg,4,874,exists
2025082410452000103998,/Users/sky/WorkProject/Knob/download_images/front/2025082410452000103998_4_front.jpg,https://file.b18a.io/7868075982200109326_818011_.jpg,https://file.b18a.io/7868075982200109326_108658_.jpg,4,622,exists
2025082313481900107103,/Users/sky/WorkProject/Knob/download_images/front/2025082313481900107103_4_front.jpg,https://file.b18a.io/8097354909100104209_945802_.jpg,https://file.b18a.io/8097354909100104209_522409_.jpg,4,520,exists
2025082208113900100870,/Users/sky/WorkProject/Knob/download_images/front/2025082208113900100870_5_front.jpg,https://file.b18a.io/7832665241600101883_768629_.jpg,https://file.b18a.io/7832665241600101883_921924_.jpg,5,25,exists
2025082509322700105969,/Users/sky/WorkProject/Knob/download_images/front/2025082509322700105969_4_front.jpeg,https://file.b18a.io/7893931432300101044_892312_.jpeg,https://file.b18a.io/7893931432300101044_910979_.jpeg,4,699,exists
2025082209113200106269,/Users/sky/WorkProject/Knob/download_images/front/2025082209113200106269_5_front.jpg,https://file.b18a.io/7839653801700107941_696944_.jpg,https://file.b18a.io/7839653801700107941_307536_.jpg,5,1009,exists
